X,Y,OBJECTID,LOC_NAME,STATUS,SCORE,MATCH_TYPE,MATCH_ADDR,SIDE,USER_FLD,ADDR_TYPE,ARC_STREET,ARC_ZIP,NAME,ADDRESS,ADDRESS_2,ZIP,PHONE_NUMBER
-75.219369133106809,39.936785689660155,1,ADDLOC_STREETS,M,100,A,1739 S 54TH ST,,0,StreetAddress,1739 South 54th St,19143,Woodland WIC office,1739 South 54th St,,19143,215-726-1142
-75.166987517588836,39.936235973384804,2,ADDLOC_TRUE_RA,M,100,M,"1165 S BROAD ST, 19147",L,0,StreetAddress,1165 SOUTH BROAD ST,19147,South Philadelphia WIC Office,1165 South Broad St,2nd Floor Rear,19146,215-463-5571
-75.23455682186399,39.980475967931788,3,ADDLOC_STREETS,M,100,A,5610 LANCASTER AVE,,0,StreetAddress,5610 Lancaster Ave,19131,Overbrook WIC Office,5610 Lancaster Ave,Suite 1400,19131,215-477-3360
-75.144108106455249,40.041130721526869,4,ADDLOC_STREETS,M,100,A,5751 N BROAD ST,,0,StreetAddress,5751 North Broad St,19141,Olney-Logan WIC Office,5751 North Broad St,,19141,215-927-1950
-75.052303221628023,40.05869825467353,5,ADDLOC_STREETS,M,100,A,7959 BUSTLETON AVE,,0,StreetAddress,7959 Bustleton Ave,19152,Northeast WIC Office,7959 Bustleton Ave,,19152,215-745-7251
-75.152431132337981,39.993617424711559,6,ADDLOC_CENTERL,M,100,A,"1300 W LEHIGH AVE, 19132",L,0,StreetAddress,1300 West Lehigh Ave,19132,North Central Organized Regionally for Total Health,1300 West Lehigh Ave,Suite 104,19132,215-236-4743
-75.135477645942274,39.991545334331924,7,ADDLOC_TRUE_RA,M,100,A,"217 W LEHIGH AVE, 19133",R,0,StreetAddress,217-33 West Lehigh Ave,19133,Lehigh Avenue WIC Office,217-33 West Lehigh Ave,2nd Floor Front,19133,215-634-8713
-75.111836616001725,39.995979597304149,8,ADDLOC_TRUE_RA,M,100,A,"1825 E HILTON ST, 19134",L,0,StreetAddress,1825-31 East Hilton St,19134,Kensington/Allegheny WIC Office,1825-31 East Hilton St,,19134,215-426-6801
-75.171228647909629,40.039353275136605,9,ADDLOC_STREETS,M,100,A,301 E CHELTEN AVE,,0,StreetAddress,301 East Chelten Ave,19144,Germantown WIC Office,301 East Chelten Ave,1st Floor,19144,215-248-1500
-75.098308143071222,39.991217650996468,10,ADDLOC_STREETS,M,89.04,A,2401 E TIOGA ST,,0,StreetAddress,2401 East Tioga Ave,19134,Aramingo WIC Office,2401 East Tioga Ave,Suite A-3,19134,215-533-9597
